filenames,width_min,width_max,width_avg,width_std,height_min,height_max,height_avg,height_std,pitch_min,pitch_max,pitch_avg,pitch_std
"test_JP1.sdf",7.5,40,15.1897435897436,4.41849410320988,6.52229257621855e-09,1.58438644653211e-07,5.04116243063095e-08,2.9047121976785e-08,2.8,11.5870617500728,7.34887469098881,1.48902852047367
"test_JP2.sdf",4,49.5,21.5438596491228,9.46057642354123,7.1671355608508e-08,4.83459587406953e-07,2.010866694759e-07,9.74392097329204e-08,4.69574275274956,26.1354165836323,10.4044669419959,6.00439252341886
"test_ML1.sdf",9,58,24.375,13.012450331754,2.17142689509368e-07,5.28507049827484e-07,3.13662888132372e-07,7.64145665335293e-08,3.13049516849971,49.561779629065,19.1722707241938,15.1273335490269
"test_ML2.sdf",4,120,20.46875,18.2443247515028,-6.03580322721599e-07,3.59683880632339e-06,5.83738454339775e-07,6.05259381391424e-07,1.56524758424985,25.9378102391085,10.3014630983422,6.63179508706051
"test_T1.sdf",4,26,15.1111111111111,4.46981045039336,1.96243856799401e-08,5.90670515071088e-07,1.72459641109074e-07,9.36061426713724e-08,2.88617393793236,13.3184083133083,6.85564066841699,2.23559870950393
"test_T2.sdf",6,30,14.4019607843137,4.59949623268828,2.50663170234643e-08,3.1497900479791e-07,1.13008251433448e-07,5.65377587130981e-08,1.56524758424985,12.4040316026685,6.33655647248934,2.18211790111284
